subj_id,date,computer,experimenter,instructions,sight_radius,n_gabors,start_pos_list_ix,start_pos_list,landscape_ix,landscape_name,starting_pos,starting_score,trial,feedback,pos,stims,selected,rt,score,delta,exp_time
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,1,selected,0-7,7-8;8-7;4-9;0-2;0-10;6-7,0-10,2.05,18,5,748.85336915
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,2,selected,0-10,0-7;5-5;6-11;2-12;2-13;6-8,2-13,2.79,26,8,755.21106579
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,3,selected,2-13,5-8;8-9;7-11;1-14;3-16;1-17,1-17,1.96,30,4,760.726465279
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,4,selected,1-17,2-20;2-11;6-18;8-19;7-21;2-19,7-21,2.91,46,16,767.23269668
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,5,selected,7-21,6-20;2-20;10-26;6-25;9-20;9-14,10-26,1.99,56,10,772.792070157
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,6,selected,10-26,10-33;16-28;2-26;5-29;11-25;17-24,16-28,3.18,67,11,779.533146058
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,7,selected,16-28,13-31;14-35;11-33;9-27;12-24;9-29,11-33,2.38,63,-4,785.476176316
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,8,selected,11-33,10-40;9-31;9-37;13-31;14-34;16-33,9-31,4.53,59,-4,793.555119127
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,9,selected,9-31,12-24;12-25;11-32;3-32;14-25;14-29,14-29,2.52,65,6,799.640645601
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,10,selected,14-29,11-24;10-31;13-29;13-26;9-31;16-23,9-31,2.91,59,-6,806.136231045
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,11,selected,9-31,10-30;13-28;8-25;12-26;2-31;14-33,14-33,2.6,68,9,812.328709064
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,1,SimpleHill,0-0,0,12,selected,14-33,19-36;16-28;16-33;15-26;20-38;8-34,16-28,2.79,67,-1,818.694219482
