subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,36,34-28,41-32;40-28;37-29;32-37;40-23;37-23,32-37,2.87,91,5,1114.9139369999998,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,37,32-37,28-38;40-34;36-41;36-43;36-45;36-33,36-45,5.35,96,5,1124.345559,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,38,36-45,42-46;37-51;30-44;33-51;32-36;44-46,33-51,2.12,95,-1,1130.543552,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,39,33-51,34-44;26-47;30-59;40-46;32-43;29-44,26-47,3.28,89,-6,1137.903944,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,40,26-47,33-43;35-48;32-54;27-46;24-42;21-46,24-42,2.85,86,-3,1144.833579,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,41,24-42,32-40;21-50;27-48;31-43;24-34;27-38,24-34,1.5,82,-4,1150.413146,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,42,24-34,29-36;27-36;31-27;20-25;19-38;17-29,31-27,1.9,83,1,1156.380598,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,43,31-27,32-27;31-25;36-25;28-28;36-26;35-24,36-25,1.71,84,1,1162.154052,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,44,36-25,37-30;30-30;29-23;36-29;30-33;36-34,36-29,3.22,88,4,1169.439599,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,45,36-29,32-33;32-27;44-27;43-34;42-26;29-28,44-27,1.59,89,1,1175.100507,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,46,44-27,40-35;41-28;43-25;48-21;45-31;39-33,41-28,10.64,89,0,1189.810448,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,47,41-28,33-26;48-33;48-31;42-19;38-33;37-32,37-32,2.25,91,2,1196.1373609999996,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,48,37-32,42-37;40-26;37-30;36-30;43-27;42-28,36-30,1.19,89,-2,1201.390009,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,49,36-30,35-27;40-30;32-27;43-35;28-24;27-27,43-35,2.64,95,6,1208.085462,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,50,43-35,36-36;45-43;42-39;48-27;39-35;50-36,50-36,4.92,97,2,1217.093605,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,51,50-36,48-45;54-37;55-30;41-39;58-31;52-32,48-45,6.88,100,3,1228.032031,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,52,48-45,43-42;53-49;47-45;54-45;50-46;48-51,50-46,5.61,100,0,1237.697254,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,53,50-46,54-37;49-50;42-45;43-47;52-55;47-44,52-55,2.29,100,0,1244.067258,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,54,52-55,43-58;59-58;52-45;48-50;51-59;51-53,51-53,4.58,100,0,1252.712818,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,55,51-53,56-57;56-47;45-58;51-51;51-63;51-62,51-51,1.75,100,0,1258.5210550000004,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,56,51-51,45-44;48-45;42-51;59-48;51-56;45-43,59-48,4.11,99,-1,1266.704735,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,57,59-48,56-53;56-47;62-44;67-52;68-45;58-51,56-53,3.28,100,1,1274.053538,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,58,56-53,55-49;64-52;58-46;48-55;52-60;54-50,52-60,3.5,98,-2,1281.610918,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,59,52-60,46-66;59-67;60-65;55-59;52-56;52-53,55-59,2.75,98,0,1288.429187,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,60,55-59,63-63;46-57;60-56;52-59;56-66;48-58,56-66,5.65,95,-3,1298.154767,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,61,56-66,55-68;59-63;52-63;61-69;58-61;60-58,55-68,1.65,94,-1,1303.881723,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,62,55-68,59-63;54-67;49-67;51-62;64-65;49-65,49-65,2.68,96,2,1310.6351550000004,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,63,49-65,46-61;42-69;47-58;50-69;47-66;51-59,47-66,3.46,95,-1,1318.170841,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,64,47-66,55-70;47-62;54-67;41-58;44-64;47-61,44-64,2.29,96,1,1324.525839,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,65,44-64,43-61;42-66;52-63;41-57;43-66;42-65,42-66,4.99,94,-2,1333.592615,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,66,42-66,34-66;40-58;35-70;41-69;41-63;37-64,35-70,1.82,88,-6,1339.478051,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,67,35-70,32-66;42-64;41-68;34-68;40-62;39-68,39-68,5.11,92,4,1348.660775,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,68,39-68,45-66;45-63;32-64;32-62;38-65;44-62,38-65,2.86,93,1,1355.596333,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,69,38-65,38-55;34-62;46-68;30-59;38-61;32-61,46-68,1.99,94,1,1361.664452,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,70,46-68,38-64;50-63;55-67;50-64;42-61;41-67,41-67,4.24,93,-1,1369.98217,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,71,41-67,42-65;37-66;39-63;38-65;46-63;45-64,37-66,9.03,92,-1,1383.071073,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,72,37-66,34-62;43-62;40-70;32-60;34-57;33-60,43-62,3.87,97,5,1391.025801,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,73,43-62,48-64;40-69;39-63;41-56;39-56;36-63,39-56,1.96,97,0,1397.055325,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,74,39-56,31-55;40-49;41-49;41-59;48-52;43-51,41-49,1.83,99,2,1402.9906050000004,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,75,41-49,49-46;35-46;39-47;49-55;50-51;41-50,39-47,3.11,98,-1,1410.176469,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,76,39-47,41-44;39-44;45-39;39-56;35-53;39-40,45-39,1.28,98,0,1415.53988,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,77,45-39,47-41;52-46;53-44;42-45;40-35;52-38,40-35,3.65,94,-4,1423.251317,1
