subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,39,34-62,38-59;41-67;33-65;32-54;38-69;36-62,41-67,8.27,93,0,799.0536322,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,40,41-67,41-65;39-67;46-63;46-64;36-64;39-60,39-60,2.29,96,3,805.3844984,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,41,39-60,36-60;39-57;30-56;32-62;33-66;33-58,33-66,3.63,90,-6,813.0793452,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,42,33-66,31-69;36-58;26-61;29-69;40-59;30-63,40-59,4.99,97,7,822.1391575,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,43,40-59,40-65;34-60;45-65;43-66;36-67;38-55,45-65,6.46,96,-1,832.6659956,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,44,45-65,54-62;45-57;41-59;47-68;42-68;45-55,54-62,5.49,97,1,842.2110442,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,45,54-62,56-56;62-57;60-69;47-68;59-59;59-56,56-56,7.89,99,2,854.1569137,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,46,56-56,58-61;50-52;52-53;56-48;52-54;60-48,58-61,10.76,97,-2,868.9869604,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,47,58-61,56-52;63-68;57-67;54-56;56-54;57-70,63-68,10.24,91,-6,883.3796806,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,48,63-68,69-70;67-62;69-63;61-66;61-70;60-67,61-66,8.88,93,2,896.3172177000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,49,61-66,62-57;62-66;65-63;57-61;66-63;68-64,57-61,3.2,97,4,903.5884212000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,50,57-61,55-66;52-53;58-61;59-64;49-62;57-60,49-62,6.67,98,1,914.3219173,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,51,49-62,50-66;55-62;57-68;51-57;46-67;43-58,55-62,6.82,97,-1,925.2237660000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,52,55-62,49-59;51-53;54-68;64-66;60-56;63-67,49-59,5.16,99,2,934.4512222999999,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,53,49-59,46-56;53-66;43-63;42-61;50-55;46-55,43-63,12.92,96,-3,951.4519845000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,54,43-63,38-66;51-69;43-57;36-59;36-66;45-57,51-69,6.48,93,-3,961.9894712000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,55,51-69,49-68;46-62;56-65;43-63;42-66;50-61,56-65,1.85,95,2,967.9096042000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,56,56-65,52-68;63-70;50-61;56-68;60-62;47-63,56-68,3.56,93,-2,975.5535687999999,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,57,56-68,57-64;52-61;49-65;60-65;49-66;65-66,57-64,3.71,96,3,983.3458468,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,58,57-64,62-70;63-65;61-69;65-63;60-60;51-58,62-70,8.71,90,-6,996.1354453,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,59,62-70,67-65;65-68;54-68;59-70;59-68;61-66,54-68,5.58,94,4,1005.779025,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,60,54-68,50-63;63-69;45-64;54-69;45-67;46-66,63-69,2.73,90,-4,1012.578563,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,61,63-69,64-65;64-60;55-68;54-70;68-64;59-61,55-68,1.66,94,4,1018.3319439999999,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,62,55-68,52-69;51-61;46-68;55-70;54-61;47-69,54-61,11.64,98,4,1034.058326,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,63,54-61,50-62;47-66;58-56;48-65;62-58;57-68,58-56,4.71,99,1,1042.8389619999998,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,64,58-56,61-65;51-63;57-57;54-51;65-55;63-52,54-51,7.18,100,1,1054.0811720000002,1
