subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,53,45-59,38-61;36-62;37-60;45-57;53-61;49-58,53-61,2.21,98,0,621.1707155,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,54,53-61,51-60;55-59;53-60;57-52;56-63;46-62,46-62,4.46,97,-1,629.6846784,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,55,46-62,37-58;44-53;55-65;45-65;51-61;42-57,45-65,1.2,96,-1,634.9381553,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,56,45-65,44-70;49-65;42-63;39-62;46-57;53-59,46-57,8.44,99,3,647.4414534,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,57,46-57,52-57;54-58;39-62;49-55;38-51;51-57,51-57,7.84,100,1,659.3458696,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,58,51-57,53-48;52-64;45-53;52-59;44-60;47-58,47-58,2.88,99,-1,666.2922465,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,59,47-58,51-63;45-57;51-53;46-67;49-50;48-66,48-66,6.97,95,-4,677.3446795,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,60,48-66,55-65;56-65;39-67;47-59;44-62;50-60,39-67,0.96,92,-3,682.3581557,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,61,39-67,36-66;34-61;43-66;38-70;48-63;46-65,46-65,2.99,96,4,689.4131076,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,62,46-65,50-58;54-70;53-66;40-70;46-59;41-58,53-66,2.89,95,-1,696.3551354,1
